cell_line	ccle_code	protein_10plex_id	protein_tmt_label	fraction_index	file_name	file_size_bytes	ftp_url
RH-41	RH41_SOFT_TISSUE	27	128n	06	g00321_Prot_27_06.raw	526555680	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00321_Prot_27_06.raw
RH-41	RH41_SOFT_TISSUE	27	128n	07	g00322_Prot_27_07.raw	509768900	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00322_Prot_27_07.raw
RH-41	RH41_SOFT_TISSUE	27	128n	08	g00323_Prot_27_08.raw	560624248	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00323_Prot_27_08.raw
RH-41	RH41_SOFT_TISSUE	27	128n	09	g00324_Prot_27_09.raw	583740508	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00324_Prot_27_09.raw
RH-41	RH41_SOFT_TISSUE	27	128n	10	g00325_Prot_27_10.raw	522199012	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00325_Prot_27_10.raw
RH-41	RH41_SOFT_TISSUE	27	128n	11	g00326_Prot_27_11.raw	545921284	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00326_Prot_27_11.raw
RH-41	RH41_SOFT_TISSUE	27	128n	12	g00327_Prot_27_12.raw	480651960	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00327_Prot_27_12.raw
RH-30	RH30_SOFT_TISSUE	35	128c	01	g00721_Prot_35_01.raw	507631066	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00721_Prot_35_01.raw
RH-30	RH30_SOFT_TISSUE	35	128c	02	g00722_Prot_35_02.raw	559719404	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00722_Prot_35_02.raw
RH-30	RH30_SOFT_TISSUE	35	128c	03	g00723_Prot_35_03.raw	589694096	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00723_Prot_35_03.raw
RH-30	RH30_SOFT_TISSUE	35	128c	04	g00724_Prot_35_04.raw	615299644	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00724_Prot_35_04.raw
RH-30	RH30_SOFT_TISSUE	35	128c	05	g00725_Prot_35_05.raw	553000016	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00725_Prot_35_05.raw
RH-30	RH30_SOFT_TISSUE	35	128c	06	g00726_Prot_35_06.raw	591042672	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00726_Prot_35_06.raw
RH-30	RH30_SOFT_TISSUE	35	128c	07	g00727_Prot_35_07.raw	621041724	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00727_Prot_35_07.raw
RH-30	RH30_SOFT_TISSUE	35	128c	08	g00728_Prot_35_08.raw	614116072	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00728_Prot_35_08.raw
RH-30	RH30_SOFT_TISSUE	35	128c	09	g00729_Prot_35_09.raw	616790592	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00729_Prot_35_09.raw
RH-30	RH30_SOFT_TISSUE	35	128c	10	g00730_Prot_35_10.raw	559803746	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00730_Prot_35_10.raw
RH-30	RH30_SOFT_TISSUE	35	128c	11	g00731_Prot_35_11.raw	552340552	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00731_Prot_35_11.raw
RH-30	RH30_SOFT_TISSUE	35	128c	12	g00732_Prot_35_12.raw	564624318	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00732_Prot_35_12.raw
