requested_name	Cell Line	CCLE Code	Tissue of Origin	Protein 10-Plex ID	Protein TMT Label
A-204	A-204	A204_SOFT_TISSUE	Soft Tissue	23	126
RD	RD	RD_SOFT_TISSUE	Soft Tissue	25	129n
RH-41	RH-41	RH41_SOFT_TISSUE	Soft Tissue	27	128n
RH-30	RH-30	RH30_SOFT_TISSUE	Soft Tissue	35	128c
KYM-1	KYM-1	KYM1_SOFT_TISSUE	Soft Tissue	38	128c
