release,release_date,filename,url,md5_hash
DepMap Public 25Q3,2025-09-25,CRISPRGeneEffectUncorrected.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRGeneEffectUncorrected.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRGeneEffectUncorrected.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=oztWhzJUvpJNrMFn7xHK%252F3Mr6khn55D9ABOtt5zU2d4pYFTAKF%252F2cFmaQRvBzerLdGKFjApeBLVY0tXNCRTfqTIjHaPmbU%252BaU39aVS15BKQaVsNIUBcH7IowJBpQYHCNNbtCAH6hce59688T1IhQmgwFai2gKe5YCLw8ILocKGyu7ASiqo%252BrdEJJXNGAB4eUTcqOBQdfe5VoYtGnGcA0u%252BE8MWj4t6V1oPu4%252BsqZ4dTKsgEXRsgNSSzulGdwCx79THsrO5uXc4soFB89XtlDk3O9MzVww0ZDnnGCkVCKV4auAqrp%252FcBabuYKVQWDqQ4SZMdVbn8PjCFtIyHtTEpsjA%3D%3D&userProject=broad-achilles,790bf5e827ae81d1938bf7b04cd0124a
DepMap Public 25Q3,2025-09-25,CRISPRInferredLibraryEffect.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRInferredLibraryEffect.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredLibraryEffect.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=EBTnul3apFlGmtHzPWofb1%252FkmIxej3I0krzPQGWM%252BtVwyKwN%252B3GYtJtlj%252F3it%252BG8bcJNjOnxDYZe%252FXOWKBXjuqu5ziA1TqdRpQY%252BMImLOmh4IjbFrcHqYQT6%252B5t830C9IhdFWtrSjwt%252B4pj8BU6Z4zrkGAlp2a7IT75MRJrNYa3E6e3UjOuBJ7%252B6ieNz0wExKEVYSO9sTRZWhJheinM4wSf6laDXt7Vb%252FI9Z0%252Fi9kJynErp9fHQP2tMpHSvO%252Brq6fzOJh42QXjkmK6Sp6jr8Rj3AVdwLPMVLYpd7B0CZF4ECVAQp%252FHr5vqTk%252BGAL2rFQ8yk2184C5%252FUdGkJut9k7nA%3D%3D&userProject=broad-achilles,600e310905d0dd8cbb8d74c54b2f52d5
DepMap Public 25Q3,2025-09-25,CRISPRInitialOffset.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRInitialOffset.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInitialOffset.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=i75u6pPh16%252BeYzTdnsxD2idsWCP1KpmdHzG%252BJXJGzuWGSz5TrmRf5yH0oDhVZbjP966a35XZ3aW%252FwSba1PO2LQMOJQTdjJHdvBKgLscpYtGrKv2jlsoCbahs8tpJW9t4IJt7UGe84adXCGeeGaBLjD10iE%252BDC9cQ69aI4e95JqLcC5RA8NdP6bf0YOXjnlv7WXeWAa4i52%252BDWYPqBDVB3teDilzwZ6L%252FU1aBmq8Zf%252BjDbm2Ok%252BkjXDRAuIcjWrIjly9j1TcOL8Yt2llSCqe3mV7ovxx1h21W8yKBhVzlahGz08SbWAUG5hgD6p%252F4xfjrsrXl2HiwUw2905%252F22tEzUA%3D%3D&userProject=broad-achilles,6b48e038f497b6d9a5d8aef6e5da72b1
DepMap Public 25Q3,2025-09-25,CRISPRGeneDependency.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRGeneDependency.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRGeneDependency.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=YZte218DjsNLj006s7REq0nSiTi3ME9SVpcKKNSxRuByNit1Jps2OqOIGAK3DUHO3u9GU1EvQAmkAvQOQUZTP1gKykAG9QZJRACqgxwimvBpUKmGWRDlOiSsXNj9t1%252B%252FN34BkNqzeu4fSiGAN6%252BR1QUPzO8WyAIVL6%252B7vhsb4R8YG7P8bJlPZQVZOjuzJZXsBWthzF0sQbkxoP9DaeBMK7pSWrgsjOYU%252FzlD%252FuVXFAb5yaEOM0hXPnO%252BMuPJ%252BaPJCrTppy1sMXH29smeKhUvuj330SOlGPgs%252FkAC%252BGAgdWlcgDZlxHlvQ5k6%252B87P8pNmKtIwYGEY4zVXEOcntJb00A%3D%3D&userProject=broad-achilles,4cff08ca439440782afe646303d5784b
DepMap Public 25Q3,2025-09-25,CRISPRInferredGuideEfficacy.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRInferredGuideEfficacy.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredGuideEfficacy.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=G0rsKUk9KUlcAGXKIlyz2rljLQdhOodOSAANX1ZlQ0tEBfsHBdrhOW6GtzWw4HyUOHQLLZwZ05bnGgRB%252FVQSgIeI9zz%252BplKk2WVdugsqEw9868PxQfpfoWtQN9C7b6WdXqsHI76We69MW7F12XSdfFEPa1iRdqRyItvLT0raIY%252BEp3%252FCjtwgnmrQdJYoNSq9Dj3%252FuXHM3%252FphJKI8f5kUKuCyM5Sj%252BKlI%252BViaX9s0DkvwGP2p9jRr55EeaG%252FJuT5JFcRue7%252BK8c3dtmrYxlY9Cf0OBWyw%252FzpnYLRMaCk8uD9giXBxba%252BpKMHqSuaO7SF1rDoj7YH9eJiZAVsexGBl3g%3D%3D&userProject=broad-achilles,bd645054d312b642711189f080ff9c9b
DepMap Public 25Q3,2025-09-25,CRISPRInferredModelGrowthRate.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRInferredModelGrowthRate.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredModelGrowthRate.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=lhFaDQ5vfbWjRLf9mb%252FjO0J6Q0Cweq1Wz24cfEjMr%252FhTsYOn5YNkGzxNEcxGYf0MhR2y0I8OOliM2LJ1d3inpvRCCbc072S1ULVfVK9%252FcBnPhpXz2zoqwGgiHIcDxYIybqjfyQsuvQchq1B9cQkGCdAR%252Fy8ShuhN0tBGgL3RHAJywJTXmuHPJADNwI3jMNYQMEyqTcd5ajhrIY2eI9VBCB%252BKGkvsX0Tn7vQg21fM1emxivq%252BOv8UFIoY2K4fn%252Bux601IsMuF7bvplzj4hUzNradrg9bEMZsK4tIFcirw%252BsHJjhWbE%252BqsqjkmKTk5f4xrPhSn8uFSWSBEMiwU%252BfU0TQ%3D%3D&userProject=broad-achilles,10da31c7b7c98a722152f42c2bb8b30e
DepMap Public 25Q3,2025-09-25,CRISPRInferredModelEfficacy.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRInferredModelEfficacy.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredModelEfficacy.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=DWJWp2PzRKtpjVY6U2cjqnYip%252FysO61TlgHkgooBW0SouZrGoyJCGgfTpN3gmVoDMsf2fXrjV7%252FgDSryaH%252BR6xw%252B6cQkPZo9O9XlV9ZZdzaLzV1GAqU42r0R8W5kXD2Svhc9Dh3R1Gd65MhrEo4m4o%252Bs6aBHF2jCylNYbmQHChOA%252FN2gvAum5NK4jYH2s%252BeXHosDI5ek7YC7x3YGmBIE%252FCraoXsDm%252B68i%252BnDCSEiuJfYmx%252FyCX18t4qtfj8L0ZRWc%252F%252BbBZNnMqvpp%252BxJ9iw5ttqo1t07TBx152oCY2paOrW2agO7GnZSDAmZkIViG2%252BvF9XtIqWPdcD6riw0GUe7uw%3D%3D&userProject=broad-achilles,f2c0d8737bc6755f9f7f5d5d712e52fd
DepMap Public 25Q3,2025-09-25,CRISPRInferredSequenceOverdispersion.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRInferredSequenceOverdispersion.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredSequenceOverdispersion.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=dCVAhyoq1cLJPMeziTXRfNwpiVO8llmcqBd7uJlZny%252BTeUd4vOdnW6fhHANXO1zZuK0eRwqADAkBesGWoXNSqJSf44spMMa99PVzcu0NGU2VqB9kBeoAOQ0z1olzPsgL4vRWP1opJXZjdRCmne53bDs7MeizVyeKre80jmFvRTL2pPqd5sX6VwL%252BtTZQkq%252BioBJ3Ate4IGmsSp0C0wQxz%252B173eIZFF%252BORv5sDXq85o9jx20A4s9Rb%252F7UFS8OhYwcY5EcXSMc1i57dMs6alve2smks67XxDQhhGcV5RjC8T1Bx8QOsPKe30Ckus%252Fsq5D2yMZujHWyOigKs05k6MD3ZQ%3D%3D&userProject=broad-achilles,e4a694cf53efc35e92d6adc26ecb5d2b
DepMap Public 25Q3,2025-09-25,CRISPRInferredCommonEssentials.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRInferredCommonEssentials.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredCommonEssentials.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=W2glmMhlKfy%252FWqz4g3erVqLTKGObISNBmZHfKl%252BdomxMx8LNhxcEn9FTWFMsnOf5wN94wz4IeVWxUg8gTMtXqQjjW797sdfynaLd80ZHyHo9DAUdsN4r73S8%252FjIegdEqw2xunY2WN921QeY3r3Yl7TN1rm5vFUvwuwK%252FgyKKTYChkJTLE9Loq%252Bb9g3iuTYiqXD5el%252B7BjBHa%252FiJcgfxfUo%252FVxhERqP%252Bj9bEfBscV0cxmu5kJ5j51pVKcVGz7yoVMrLNj5ZiiplHgXinrySq97la7%252B2YteGEXlNQ4NI4VLAftpiC2dtGYn%252FPDqv2bzBRSITYBJfGzS6I4f1SItqtT%252Fw%3D%3D&userProject=broad-achilles,106d87fad497a60430d2bf75fcbc5d7a
DepMap Public 25Q3,2025-09-25,AchillesCommonEssentialControls.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/AchillesCommonEssentialControls.csv?response-content-disposition=attachment%3B+filename%3D%22AchillesCommonEssentialControls.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=ZEHoCfcvHj%252BlHIrEhVeiYEE%252FO%252BX2lf3TncjcQc2YzG%252FPVhktPhFgH1aElYHWu4b45MetOY0PxirIYY25AqyU5usVXOtzqwQa6OsRElTVSXs3ZDOX1c2iVWH2tgvmYvN0bY125apoLKaN7g%252FADNKdEODbAS2wtKIc6mvmJsF4l%252FOkC%252BxR75FJCyg28oJnI4VFnJ%252Bogk9ZW1LlKvmCHD4WLAoxrFhz7bIjhQiN%252F7mtjEe7Ml596oai0OQ5vhRmFxiy%252FMfj4056xYMt8bcgsABb5E%252F35ymG2yvNS0W1VOGYucfMEyw3Px2b%252FcDRwWBnOZZcRSkwxyzpyJlPaZfOjNSmMw%3D%3D&userProject=broad-achilles,3aff5af7acc908a459ce32c36959cb92
